Description,Count,GeneRatio,BgRatio,p.adjust,ENTREZIDs,SYMBOLs,ENSEMBLIDs,category,subcategory
FARMER_BREAST_CANCER_CLUSTER_3,2,2/590,16/17483,0.36826154871979017,56524/70789,Mpp6/Kynu,ENSMUSG00000038388/ENSMUSG00000026866,C2,CGP
HAHTOLA_CTCL_PATHOGENESIS,2,2/590,16/17483,0.36826154871979017,232801/20304,Lilra5/Ccl5,ENSMUSG00000070873/ENSMUSG00000035042,C2,CGP
HOLLEMAN_VINCRISTINE_RESISTANCE_B_ALL_DN,2,2/590,16/17483,0.36826154871979017,19240/54132,Tmsb10/Pdlim1,ENSMUSG00000079523/ENSMUSG00000055044,C2,CGP
INGA_TP53_TARGETS,2,2/590,16/17483,0.36826154871979017,21825/12028,Thbs1/Bax,ENSMUSG00000040152/ENSMUSG00000003873,C2,CGP
ISHIKAWA_STING_SIGNALING,2,2/590,16/17483,0.36826154871979017,20304/56417,Ccl5/Adar,ENSMUSG00000035042/ENSMUSG00000027951,C2,CGP
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_DN,2,2/590,16/17483,0.36826154871979017,239027/54132,Arhgap22/Pdlim1,ENSMUSG00000063506/ENSMUSG00000055044,C2,CGP
VETTER_TARGETS_OF_PRKCA_AND_ETS1_UP,2,2/590,16/17483,0.36826154871979017,14268/13367,Fn1/Diaph1,ENSMUSG00000026193/ENSMUSG00000024456,C2,CGP
ZHAN_VARIABLE_EARLY_DIFFERENTIATION_GENES_UP,2,2/590,16/17483,0.36826154871979017,11568/13039,Aebp1/Ctsl,ENSMUSG00000020473/ENSMUSG00000021477,C2,CGP
DOANE_BREAST_CANCER_CLASSES_DN,3,3/590,33/17483,0.36826154871979017,97064/50770/13039,Wwtr1/Atp11a/Ctsl,ENSMUSG00000027803/ENSMUSG00000031441/ENSMUSG00000021477,C2,CGP
GAUSSMANN_MLL_AF4_FUSION_TARGETS_G_DN,3,3/590,33/17483,0.36826154871979017,20725/76969/66889,Serpinb8/Chst1/Rnf128,ENSMUSG00000026315/ENSMUSG00000027221/ENSMUSG00000031438,C2,CGP
VALK_AML_CLUSTER_3,3,3/590,33/17483,0.36826154871979017,20725/114128/239027,Serpinb8/Laptm4b/Arhgap22,ENSMUSG00000026315/ENSMUSG00000022257/ENSMUSG00000063506,C2,CGP
WANG_METHYLATED_IN_BREAST_CANCER,3,3/590,33/17483,0.36826154871979017,20725/21825/23886,Serpinb8/Thbs1/Gdf15,ENSMUSG00000026315/ENSMUSG00000040152/ENSMUSG00000038508,C2,CGP
BROWNE_HCMV_INFECTION_1HR_UP,4,4/590,52/17483,0.36826154871979017,17387/76969/15566/15531,Mmp14/Chst1/Htr7/Ndst1,ENSMUSG00000000957/ENSMUSG00000027221/ENSMUSG00000024798/ENSMUSG00000054008,C2,CGP
MCDOWELL_ACUTE_LUNG_INJURY_UP,4,4/590,52/17483,0.36826154871979017,232801/21810/27226/64292,Lilra5/Tgfbi/Pla2g7/Ptges,ENSMUSG00000070873/ENSMUSG00000035493/ENSMUSG00000023913/ENSMUSG00000050737,C2,CGP
STARK_HYPPOCAMPUS_22Q11_DELETION_UP,4,4/590,52/17483,0.36826154871979017,20910/13819/238377/56386,Stxbp1/Epas1/Gpr68/B4galt6,ENSMUSG00000026797/ENSMUSG00000024140/ENSMUSG00000047415/ENSMUSG00000056124,C2,CGP
ZHU_CMV_8_HR_DN,4,4/590,52/17483,0.36826154871979017,11816/17222/11428/17886,Apoe/Anapc1/Aco1/Myh9,ENSMUSG00000002985/ENSMUSG00000014355/ENSMUSG00000028405/ENSMUSG00000022443,C2,CGP
PEART_HDAC_PROLIFERATION_CLUSTER_DN,5,5/590,73/17483,0.36826154871979017,24115/19364/17215/69550/18813,Best1/Rad51d/Mcm3/Bst2/Pa2g4,ENSMUSG00000037418/ENSMUSG00000018841/ENSMUSG00000041859/ENSMUSG00000046718/ENSMUSG00000025364,C2,CGP
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN,5,5/590,73/17483,0.36826154871979017,12273/11568/14268/17938/223650,C5ar1/Aebp1/Fn1/Naca/Eppk1,ENSMUSG00000049130/ENSMUSG00000020473/ENSMUSG00000026193/ENSMUSG00000061315/ENSMUSG00000115388,C2,CGP
DURCHDEWALD_SKIN_CARCINOGENESIS_UP,6,6/590,94/17483,0.36826154871979017,245533/17750/18751/12709/69106/30794,Awat1/Mt2/Prkcb/Ckb/Stoml1/Pdlim4,ENSMUSG00000015665/ENSMUSG00000031762/ENSMUSG00000052889/ENSMUSG00000001270/ENSMUSG00000032333/ENSMUSG00000020388,C2,CGP
KAYO_CALORIE_RESTRICTION_MUSCLE_DN,6,6/590,94/17483,0.36826154871979017,20591/56453/18126/22334/16785/67530,Kdm5c/Mbtps1/Nos2/Vdac2/Rpsa/Uqcrb,ENSMUSG00000025332/ENSMUSG00000031835/ENSMUSG00000020826/ENSMUSG00000021771/ENSMUSG00000032518/ENSMUSG00000021520,C2,CGP
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP,7,7/590,116/17483,0.36826154871979017,64209/12527/12010/56453/19172/13001/56417,Herpud1/Cd9/B2m/Mbtps1/Psmb4/Csnk2b/Adar,ENSMUSG00000031770/ENSMUSG00000030342/ENSMUSG00000060802/ENSMUSG00000031835/ENSMUSG00000005779/ENSMUSG00000024387/ENSMUSG00000027951,C2,CGP
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP,8,8/590,139/17483,0.36826154871979017,73246/66889/12484/12874/14013/14583/66847/17909,Rassf6/Rnf128/Cd24a/Cpd/Mecom/Gfpt1/Hint3/Myo10,ENSMUSG00000029370/ENSMUSG00000031438/ENSMUSG00000047139/ENSMUSG00000020841/ENSMUSG00000027684/ENSMUSG00000029992/ENSMUSG00000019791/ENSMUSG00000022272,C2,CGP
CAIRO_HEPATOBLASTOMA_UP,11,11/590,209/17483,0.36826154871979017,72333/12709/320119/15331/11658/17215/26407/12484/17979/230233/12874,Palld/Ckb/Rps6kc1/Hmgn2/Alcam/Mcm3/Map3k4/Cd24a/Ncoa3/Elp1/Cpd,ENSMUSG00000058056/ENSMUSG00000001270/ENSMUSG00000089872/ENSMUSG00000003038/ENSMUSG00000022636/ENSMUSG00000041859/ENSMUSG00000014426/ENSMUSG00000047139/ENSMUSG00000027678/ENSMUSG00000028431/ENSMUSG00000020841,C2,CGP
KAAB_HEART_ATRIUM_VS_VENTRICLE_DN,13,13/590,257/17483,0.36826154871979017,16832/14733/66211/54132/69993/104099/230673/12334/99138/23807/22273/69833/14248,Ldhb/Gpc1/Rpl3l/Pdlim1/Chn2/Itga9/Ipo13/Capn2/Stard7/Arih2/Uqcrc1/Polr2f/Flii,ENSMUSG00000030246/ENSMUSG00000034220/ENSMUSG00000002500/ENSMUSG00000055044/ENSMUSG00000004633/ENSMUSG00000039115/ENSMUSG00000033365/ENSMUSG00000026509/ENSMUSG00000027367/ENSMUSG00000064145/ENSMUSG00000025651/ENSMUSG00000033020/ENSMUSG00000002812,C2,CGP
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN,17,17/590,357/17483,0.36826154871979017,20568/226791/19126/67092/57295/71729/16162/14199/67510/110310/110253/268373/72145/225845/66521/16561/18263,Slpi/Lyplal1/Prom1/Gatm/Icmt/Rgs12/Il12rb2/Fhl1/Tvp23b/Krt7/Triobp/Ppia/Wdfy3/Plaat3/Rwdd1/Kif1b/Odc1,ENSMUSG00000017002/ENSMUSG00000039246/ENSMUSG00000029086/ENSMUSG00000027199/ENSMUSG00000039662/ENSMUSG00000029101/ENSMUSG00000018341/ENSMUSG00000023092/ENSMUSG00000014177/ENSMUSG00000023039/ENSMUSG00000033088/ENSMUSG00000071866/ENSMUSG00000043940/ENSMUSG00000060675/ENSMUSG00000019782/ENSMUSG00000063077/ENSMUSG00000011179,C2,CGP
LU_EZH2_TARGETS_DN,18,18/590,384/17483,0.37130785783303505,18733/72333/53614/100041146/268752/30805/107182/21825/102058/17158/235567/217664/226252/11428/19267/270066/14583/22083,Pirb/Palld/Reck/Gm15448/Wdfy2/Slc22a4/Btaf1/Thbs1/Exoc8/Man2a1/Dnajc13/Mgat2/Fam160b1/Aco1/Ptpre/Slc35e1/Gfpt1/Ctr9,ENSMUSG00000058818/ENSMUSG00000058056/ENSMUSG00000028476/ENSMUSG00000074419/ENSMUSG00000014547/ENSMUSG00000020334/ENSMUSG00000040565/ENSMUSG00000040152/ENSMUSG00000074030/ENSMUSG00000024085/ENSMUSG00000032560/ENSMUSG00000043998/ENSMUSG00000033478/ENSMUSG00000028405/ENSMUSG00000041836/ENSMUSG00000019731/ENSMUSG00000029992/ENSMUSG00000005609,C2,CGP
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP,8,8/590,140/17483,0.37255637414247755,13823/114128/320119/239027/71279/72145/16449/27368,Epb41l3/Laptm4b/Rps6kc1/Arhgap22/Slc29a3/Wdfy3/Jag1/Tbl2,ENSMUSG00000024044/ENSMUSG00000022257/ENSMUSG00000089872/ENSMUSG00000063506/ENSMUSG00000020100/ENSMUSG00000043940/ENSMUSG00000027276/ENSMUSG00000005374,C2,CGP
LI_INDUCED_T_TO_NATURAL_KILLER_DN,8,8/590,140/17483,0.37255637414247755,12481/104759/18751/20308/30794/64652/16897/215690,Cd2/Pld4/Prkcb/Ccl9/Pdlim4/Nisch/Llgl1/Nav1,ENSMUSG00000027863/ENSMUSG00000052160/ENSMUSG00000052889/ENSMUSG00000019122/ENSMUSG00000020388/ENSMUSG00000021910/ENSMUSG00000020536/ENSMUSG00000009418,C2,CGP
LI_INDUCED_T_TO_NATURAL_KILLER_UP,15,15/590,309/17483,0.3727558112267478,75345/12774/71720/14733/20304/545378/214854/238377/12527/664968/246177/233328/12334/20193/327957,Slamf7/Ccr5/Osbpl3/Gpc1/Ccl5/Sh2d1b2/Neurl3/Gpr68/Cd9/Tmem238/Myo1g/Lrrk1/Capn2/S100a1/Scimp,ENSMUSG00000038179/ENSMUSG00000079227/ENSMUSG00000029822/ENSMUSG00000034220/ENSMUSG00000035042/ENSMUSG00000073494/ENSMUSG00000047180/ENSMUSG00000047415/ENSMUSG00000030342/ENSMUSG00000030431/ENSMUSG00000020437/ENSMUSG00000015133/ENSMUSG00000026509/ENSMUSG00000044080/ENSMUSG00000057135,C2,CGP
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_UP,4,4/590,53/17483,0.3762055184490267,235504/27226/105855/246256,Slc17a5/Pla2g7/Nckap1l/Fcgr4,ENSMUSG00000049624/ENSMUSG00000023913/ENSMUSG00000022488/ENSMUSG00000059089,C2,CGP
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6,4,4/590,53/17483,0.3762055184490267,229521/16847/52123/18627,Syt11/Lepr/Agpat5/Per2,ENSMUSG00000068923/ENSMUSG00000057722/ENSMUSG00000031467/ENSMUSG00000055866,C2,CGP
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN,9,9/590,164/17483,0.3781585184592208,76267/14733/54725/227699/107182/27053/76969/23943/11305,Fads1/Gpc1/Cadm1/Nup188/Btaf1/Asns/Chst1/Esyt1/Abca2,ENSMUSG00000010663/ENSMUSG00000034220/ENSMUSG00000032076/ENSMUSG00000052533/ENSMUSG00000040565/ENSMUSG00000029752/ENSMUSG00000027221/ENSMUSG00000025366/ENSMUSG00000026944,C2,CGP
WANG_CLIM2_TARGETS_UP,12,12/590,236/17483,0.3784591499792242,102657/16847/69710/239027/80280/11658/218490/77044/64652/110954/23807/75687,Cd276/Lepr/Arap1/Arhgap22/Cdk5rap3/Alcam/Btf3/Arid2/Nisch/Rpl10/Arih2/Ripor1,ENSMUSG00000035914/ENSMUSG00000057722/ENSMUSG00000032812/ENSMUSG00000063506/ENSMUSG00000018669/ENSMUSG00000022636/ENSMUSG00000021660/ENSMUSG00000033237/ENSMUSG00000021910/ENSMUSG00000008682/ENSMUSG00000064145/ENSMUSG00000038604,C2,CGP
VECCHI_GASTRIC_CANCER_EARLY_UP,19,19/590,412/17483,0.38330692868863087,12654/114128/50933/16534/110310/23886/12527/12925/27361/50770/223650/28126/26961/66411/217207/13039/55934/20641/20740,Chil1/Laptm4b/Uchl3/Kcnn4/Krt7/Gdf15/Cd9/Crip1/Msrb1/Atp11a/Eppk1/Nop16/Rpl8/Tbcb/Dhx8/Ctsl/Rp9/Snrpd1/Sptan1,ENSMUSG00000064246/ENSMUSG00000022257/ENSMUSG00000022111/ENSMUSG00000054342/ENSMUSG00000023039/ENSMUSG00000038508/ENSMUSG00000030342/ENSMUSG00000006360/ENSMUSG00000075705/ENSMUSG00000031441/ENSMUSG00000115388/ENSMUSG00000025869/ENSMUSG00000003970/ENSMUSG00000006095/ENSMUSG00000034931/ENSMUSG00000021477/ENSMUSG00000032239/ENSMUSG00000002477/ENSMUSG00000057738,C2,CGP
LIANG_SILENCED_BY_METHYLATION_UP,3,3/590,34/17483,0.38338518748328976,12654/20846/110310,Chil1/Stat1/Krt7,ENSMUSG00000064246/ENSMUSG00000026104/ENSMUSG00000023039,C2,CGP
GAVIN_FOXP3_TARGETS_CLUSTER_T7,6,6/590,96/17483,0.38338518748328976,12481/16534/20846/76846/16452/229877,Cd2/Kcnn4/Stat1/Rps9/Jak2/Rap1gds1,ENSMUSG00000027863/ENSMUSG00000054342/ENSMUSG00000026104/ENSMUSG00000006333/ENSMUSG00000024789/ENSMUSG00000028149,C2,CGP
SERVITJA_ISLET_HNF1A_TARGETS_UP,9,9/590,165/17483,0.38576889086539035,17387/66222/17132/20308/11816/11568/20969/67784/18129,Mmp14/Serpinb1a/Maf/Ccl9/Apoe/Aebp1/Sdc1/Plxnd1/Notch2,ENSMUSG00000000957/ENSMUSG00000044734/ENSMUSG00000055435/ENSMUSG00000019122/ENSMUSG00000002985/ENSMUSG00000020473/ENSMUSG00000020592/ENSMUSG00000030123/ENSMUSG00000027878,C2,CGP
KASLER_HDAC7_TARGETS_1_UP,10,10/590,189/17483,0.38651158463707913,15925/20354/71720/76916/14744/66890/17979/13135/20848/71472,Ide/Sema4d/Osbpl3/Timmdc1/Gpr65/Lman2/Ncoa3/Dad1/Stat3/Usp19,ENSMUSG00000056999/ENSMUSG00000021451/ENSMUSG00000029822/ENSMUSG00000002846/ENSMUSG00000021886/ENSMUSG00000021484/ENSMUSG00000027678/ENSMUSG00000022174/ENSMUSG00000004040/ENSMUSG00000006676,C2,CGP
WIERENGA_STAT5A_TARGETS_DN,10,10/590,189/17483,0.38651158463707913,100038909/16419/217119/18726/320183/54132/12527/21894/218454/68606,Gm14548/Itgb5/Xylt2/Lilra6/Msrb3/Pdlim1/Cd9/Tln1/Lhfpl2/Ppm1f,ENSMUSG00000074417/ENSMUSG00000022817/ENSMUSG00000020868/ENSMUSG00000030427/ENSMUSG00000051236/ENSMUSG00000055044/ENSMUSG00000030342/ENSMUSG00000028465/ENSMUSG00000045312/ENSMUSG00000026181,C2,CGP
KIM_WT1_TARGETS_12HR_DN,11,11/590,213/17483,0.38651158463707913,235431/50933/22151/21825/64209/20104/17158/28126/74840/66521/50783,Coro2b/Uchl3/Tubb2a/Thbs1/Herpud1/Rps6/Man2a1/Nop16/Manf/Rwdd1/Lsm4,ENSMUSG00000041729/ENSMUSG00000022111/ENSMUSG00000058672/ENSMUSG00000040152/ENSMUSG00000031770/ENSMUSG00000028495/ENSMUSG00000024085/ENSMUSG00000025869/ENSMUSG00000032575/ENSMUSG00000019782/ENSMUSG00000031848,C2,CGP
LEE_TARGETS_OF_PTCH1_AND_SUFU_UP,4,4/590,54/17483,0.3891235419496584,12268/12010/19207/57294,C4b/B2m/Ptch2/Rps27,ENSMUSG00000073418/ENSMUSG00000060802/ENSMUSG00000028681/ENSMUSG00000090733,C2,CGP
MCCLUNG_CREB1_TARGETS_DN,4,4/590,54/17483,0.3891235419496584,54725/12268/50770/18627,Cadm1/C4b/Atp11a/Per2,ENSMUSG00000032076/ENSMUSG00000073418/ENSMUSG00000031441/ENSMUSG00000055866,C2,CGP
FURUKAWA_DUSP6_TARGETS_PCI35_UP,5,5/590,75/17483,0.3891235419496584,15018/12484/93694/15040/80281,H2-Q7/Cd24a/Clec2d/H2-T23/Cttnbp2nl,ENSMUSG00000060550/ENSMUSG00000047139/ENSMUSG00000030157/ENSMUSG00000067212/ENSMUSG00000062127,C2,CGP
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_DN,5,5/590,75/17483,0.3891235419496584,14199/68606/22294/66085/56417,Fhl1/Ppm1f/Uxt/Eif3f/Adar,ENSMUSG00000023092/ENSMUSG00000026181/ENSMUSG00000001134/ENSMUSG00000031029/ENSMUSG00000027951,C2,CGP
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_UP,12,12/590,238/17483,0.3891235419496584,22032/226844/71085/17215/19172/14013/59024/320632/99138/14583/77853/57294,Traf4/Flvcr1/Arhgap19/Mcm3/Psmb4/Mecom/Med12/Snrnp200/Stard7/Gfpt1/Msl2/Rps27,ENSMUSG00000017386/ENSMUSG00000066595/ENSMUSG00000025154/ENSMUSG00000041859/ENSMUSG00000005779/ENSMUSG00000027684/ENSMUSG00000079487/ENSMUSG00000003660/ENSMUSG00000027367/ENSMUSG00000029992/ENSMUSG00000066415/ENSMUSG00000090733,C2,CGP
BOWIE_RESPONSE_TO_TAMOXIFEN,2,2/590,17/17483,0.3927851737064089,20304/20846,Ccl5/Stat1,ENSMUSG00000035042/ENSMUSG00000026104,C2,CGP
GOUYER_TATI_TARGETS_DN,2,2/590,17/17483,0.3927851737064089,121021/14268,Cspg4/Fn1,ENSMUSG00000032911/ENSMUSG00000026193,C2,CGP
MACLACHLAN_BRCA1_TARGETS_DN,2,2/590,17/17483,0.3927851737064089,12527/12028,Cd9/Bax,ENSMUSG00000030342/ENSMUSG00000003873,C2,CGP
DACOSTA_UV_RESPONSE_VIA_ERCC3_UP,15,15/590,313/17483,0.3927851737064089,76267/22151/15018/21825/192176/18797/20020/18627/22273/54721/14470/15040/13039/54709/17069,Fads1/Tubb2a/H2-Q7/Thbs1/Flna/Plcb3/Polr2a/Per2/Uqcrc1/Tyk2/Rabac1/H2-T23/Ctsl/Eif3i/Ly6e,ENSMUSG00000010663/ENSMUSG00000058672/ENSMUSG00000060550/ENSMUSG00000040152/ENSMUSG00000031328/ENSMUSG00000024960/ENSMUSG00000005198/ENSMUSG00000055866/ENSMUSG00000025651/ENSMUSG00000032175/ENSMUSG00000003380/ENSMUSG00000067212/ENSMUSG00000021477/ENSMUSG00000028798/ENSMUSG00000022587,C2,CGP
AIGNER_ZEB1_TARGETS,3,3/590,35/17483,0.393703283579502,12484/223650/12561,Cd24a/Eppk1/Cdh4,ENSMUSG00000047139/ENSMUSG00000115388/ENSMUSG00000000305,C2,CGP
DORN_ADENOVIRUS_INFECTION_12HR_DN,3,3/590,35/17483,0.393703283579502,22032/16790/70789,Traf4/Anpep/Kynu,ENSMUSG00000017386/ENSMUSG00000039062/ENSMUSG00000026866,C2,CGP
HONMA_DOCETAXEL_RESISTANCE,3,3/590,35/17483,0.393703283579502,121022/56455/67890,Mrps6/Dynll1/Ufm1,ENSMUSG00000039680/ENSMUSG00000009013/ENSMUSG00000027746,C2,CGP
JIANG_AGING_HYPOTHALAMUS_DN,3,3/590,35/17483,0.393703283579502,13819/11816/217664,Epas1/Apoe/Mgat2,ENSMUSG00000024140/ENSMUSG00000002985/ENSMUSG00000043998,C2,CGP
LOPEZ_TRANSLATION_VIA_FN1_SIGNALING,3,3/590,35/17483,0.393703283579502,13548/21825/20641,Dyrk1a/Thbs1/Snrpd1,ENSMUSG00000022897/ENSMUSG00000040152/ENSMUSG00000002477,C2,CGP
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN,3,3/590,35/17483,0.393703283579502,12608/16162/20846,Cebpb/Il12rb2/Stat1,ENSMUSG00000056501/ENSMUSG00000018341/ENSMUSG00000026104,C2,CGP
SMID_BREAST_CANCER_RELAPSE_IN_LUNG_DN,3,3/590,35/17483,0.393703283579502,16000/20510/57266,Igf1/Slc1a1/Cxcl14,ENSMUSG00000020053/ENSMUSG00000024935/ENSMUSG00000021508,C2,CGP
STEARMAN_TUMOR_FIELD_EFFECT_UP,3,3/590,35/17483,0.393703283579502,12654/13038/76509,Chil1/Ctsk/Plet1,ENSMUSG00000064246/ENSMUSG00000028111/ENSMUSG00000032068,C2,CGP
BROWNE_HCMV_INFECTION_4HR_UP,4,4/590,55/17483,0.393703283579502,21825/11810/54384/19766,Thbs1/Apobec1/Mtmr7/Ripk1,ENSMUSG00000040152/ENSMUSG00000040613/ENSMUSG00000039431/ENSMUSG00000021408,C2,CGP
DIRMEIER_LMP1_RESPONSE_LATE_UP,4,4/590,55/17483,0.393703283579502,22151/12925/16190/20947,Tubb2a/Crip1/Il4ra/Swap70,ENSMUSG00000058672/ENSMUSG00000006360/ENSMUSG00000030748/ENSMUSG00000031015,C2,CGP
LEE_AGING_NEOCORTEX_UP,5,5/590,76/17483,0.393703283579502,69387/12268/12527/12010/76933,Dnajb13/C4b/Cd9/B2m/Ifi27l2a,ENSMUSG00000030708/ENSMUSG00000073418/ENSMUSG00000030342/ENSMUSG00000060802/ENSMUSG00000079017,C2,CGP
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP,5,5/590,76/17483,0.393703283579502,66664/16330/235567/77853/54563,Tmem41a/Inpp5b/Dnajc13/Msl2/Nup210,ENSMUSG00000022856/ENSMUSG00000028894/ENSMUSG00000032560/ENSMUSG00000066415/ENSMUSG00000030091,C2,CGP
CROONQUIST_NRAS_VS_STROMAL_STIMULATION_DN,6,6/590,98/17483,0.393703283579502,170835/21810/319190/17215/216161/15194,Inpp5j/Tgfbi/Hist2h2be/Mcm3/Sbno2/Htt,ENSMUSG00000034570/ENSMUSG00000035493/ENSMUSG00000068854/ENSMUSG00000041859/ENSMUSG00000035673/ENSMUSG00000029104,C2,CGP
QI_PLASMACYTOMA_DN,6,6/590,98/17483,0.393703283579502,20568/17179/16419/13819/76969/11568,Slpi/Matk/Itgb5/Epas1/Chst1/Aebp1,ENSMUSG00000017002/ENSMUSG00000004933/ENSMUSG00000022817/ENSMUSG00000024140/ENSMUSG00000027221/ENSMUSG00000020473,C2,CGP
RUIZ_TNC_TARGETS_DN,8,8/590,143/17483,0.393703283579502,17750/381280/17748/21825/17215/12484/98402/18263,Mt2/Hjurp/Mt1/Thbs1/Mcm3/Cd24a/Sh3bp4/Odc1,ENSMUSG00000031762/ENSMUSG00000044783/ENSMUSG00000031765/ENSMUSG00000040152/ENSMUSG00000041859/ENSMUSG00000047139/ENSMUSG00000036206/ENSMUSG00000011179,C2,CGP
DURAND_STROMA_NS_UP,9,9/590,167/17483,0.393703283579502,66082/17750/13038/66889/23886/69993/66253/11717/21888,Abhd6/Mt2/Ctsk/Rnf128/Gdf15/Chn2/Aig1/Ampd3/Tle4,ENSMUSG00000025277/ENSMUSG00000031762/ENSMUSG00000028111/ENSMUSG00000031438/ENSMUSG00000038508/ENSMUSG00000004633/ENSMUSG00000019806/ENSMUSG00000005686/ENSMUSG00000024642,C2,CGP
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP,9,9/590,167/17483,0.393703283579502,12774/227288/20304/19126/18186/192187/16000/18129/16449,Ccr5/Cxcr1/Ccl5/Prom1/Nrp1/Stab1/Igf1/Notch2/Jag1,ENSMUSG00000079227/ENSMUSG00000048480/ENSMUSG00000035042/ENSMUSG00000029086/ENSMUSG00000025810/ENSMUSG00000042286/ENSMUSG00000020053/ENSMUSG00000027878/ENSMUSG00000027276,C2,CGP
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_UP,12,12/590,240/17483,0.393703283579502,11303/105522/66222/16177/13819/22032/102103/216161/218454/20848/13001/13039,Abca1/Ankrd28/Serpinb1a/Il1r1/Epas1/Traf4/Mtus1/Sbno2/Lhfpl2/Stat3/Csnk2b/Ctsl,ENSMUSG00000015243/ENSMUSG00000014496/ENSMUSG00000044734/ENSMUSG00000026072/ENSMUSG00000024140/ENSMUSG00000017386/ENSMUSG00000045636/ENSMUSG00000035673/ENSMUSG00000045312/ENSMUSG00000004040/ENSMUSG00000024387/ENSMUSG00000021477,C2,CGP
HORIUCHI_WTAP_TARGETS_DN,15,15/590,314/17483,0.393703283579502,16832/381280/97064/245860/76969/192176/26936/268373/27176/15519/246293/50783/56386/70012/18263,Ldhb/Hjurp/Wwtr1/Atg9a/Chst1/Flna/Mprip/Ppia/Rpl7a/Hsp90aa1/Klhl8/Lsm4/B4galt6/Cep85/Odc1,ENSMUSG00000030246/ENSMUSG00000044783/ENSMUSG00000027803/ENSMUSG00000033124/ENSMUSG00000027221/ENSMUSG00000031328/ENSMUSG00000005417/ENSMUSG00000071866/ENSMUSG00000062647/ENSMUSG00000021270/ENSMUSG00000029312/ENSMUSG00000031848/ENSMUSG00000056124/ENSMUSG00000037443/ENSMUSG00000011179,C2,CGP
SMITH_TERT_TARGETS_UP,8,8/590,144/17483,0.3942831771666177,11501/27053/13548/64209/20591/218454/67890/14583,Adam8/Asns/Dyrk1a/Herpud1/Kdm5c/Lhfpl2/Ufm1/Gfpt1,ENSMUSG00000025473/ENSMUSG00000029752/ENSMUSG00000022897/ENSMUSG00000031770/ENSMUSG00000025332/ENSMUSG00000045312/ENSMUSG00000027746/ENSMUSG00000029992,C2,CGP
KIM_WT1_TARGETS_UP,11,11/590,216/17483,0.39592850743401253,121021/20568/319939/23921/77579/97064/21825/30794/19267/16190/17196,Cspg4/Slpi/Tns3/Sh2b2/Myh10/Wwtr1/Thbs1/Pdlim4/Ptpre/Il4ra/Mbp,ENSMUSG00000032911/ENSMUSG00000017002/ENSMUSG00000020422/ENSMUSG00000005057/ENSMUSG00000020900/ENSMUSG00000027803/ENSMUSG00000040152/ENSMUSG00000020388/ENSMUSG00000041836/ENSMUSG00000030748/ENSMUSG00000041607,C2,CGP
LIM_MAMMARY_STEM_CELL_UP,21,21/590,470/17483,0.40239898381179035,121021/53614/54725/30963/27226/66871/13819/18186/21825/14199/320183/11816/30794/11568/236920/104099/19267/12561/57266/16449/19303,Cspg4/Reck/Cadm1/Hacd1/Pla2g7/Cpne8/Epas1/Nrp1/Thbs1/Fhl1/Msrb3/Apoe/Pdlim4/Aebp1/Stard8/Itga9/Ptpre/Cdh4/Cxcl14/Jag1/Pxn,ENSMUSG00000032911/ENSMUSG00000028476/ENSMUSG00000032076/ENSMUSG00000063275/ENSMUSG00000023913/ENSMUSG00000052560/ENSMUSG00000024140/ENSMUSG00000025810/ENSMUSG00000040152/ENSMUSG00000023092/ENSMUSG00000051236/ENSMUSG00000002985/ENSMUSG00000020388/ENSMUSG00000020473/ENSMUSG00000031216/ENSMUSG00000039115/ENSMUSG00000041836/ENSMUSG00000000305/ENSMUSG00000021508/ENSMUSG00000027276/ENSMUSG00000029528,C2,CGP
GAVIN_FOXP3_TARGETS_CLUSTER_T4,6,6/590,99/17483,0.40354776533839465,229521/18186/19883/20430/225845/18263,Syt11/Nrp1/Rora/Cyfip1/Plaat3/Odc1,ENSMUSG00000068923/ENSMUSG00000025810/ENSMUSG00000032238/ENSMUSG00000030447/ENSMUSG00000060675/ENSMUSG00000011179,C2,CGP
WEI_MIR34A_TARGETS,8,8/590,145/17483,0.40354776533839465,72333/53614/15331/100434/20947/18627/54563/71918,Palld/Reck/Hmgn2/Slc44a1/Swap70/Per2/Nup210/Zcchc24,ENSMUSG00000058056/ENSMUSG00000028476/ENSMUSG00000003038/ENSMUSG00000028412/ENSMUSG00000031015/ENSMUSG00000055866/ENSMUSG00000030091/ENSMUSG00000055538,C2,CGP
